consent,clif_harm_e_01_1,clif_harm_e_01_2,clif_harm_e_02_1,clif_harm_e_02_2,clif_harm_e_03_1,clif_harm_e_03_2,clif_harm_e_04_1,clif_harm_e_04_2,clif_harm_e_05_1,clif_harm_e_05_2,clif_harm_e_06_1,clif_harm_e_06_2,clif_harm_e_07_1,clif_harm_e_07_2,clif_harm_e_08_1,clif_harm_e_08_2,clif_harm_e_09_1,clif_harm_e_09_2,clif_harm_e_10_1,clif_harm_e_10_2,clif_harm_e_11_1,clif_harm_e_11_2,clif_harm_e_12_1,clif_harm_e_12_2,clif_harm_e_13_1,clif_harm_e_13_2,clif_harm_e_14_1,clif_harm_e_14_2,clif_harm_e_15_1,clif_harm_e_15_2,clif_harm_e_16_1,clif_harm_e_16_2,clif_harm_ph_01_1,clif_harm_ph_01_2,clif_harm_ph_02_1,clif_harm_ph_02_2,clif_harm_ph_03_1,clif_harm_ph_03_2,cliff_fair_01_1,cliff_fair_01_2,clif_fair_02_1,clif_fair_02_2,clif_fair_03_1,clif_fair_03_2,clif_fair_04_1,clif_fair_04_2,clif_fair_05_1,clif_fair_05_2,clif_fair_06_1,clif_fair_06_2,clif_fair_07_1,clif_fair_07_2,clif_fair_08_1,clif_fair_08_2,clif_fair_09_1,clif_fair_09_2,clif_fair_10_1,clif_fair_10_2,clif_fair_11_1,clif_fair_11_2,clif_fair_12_1,clif_fair_12_2,clif_pure_1_1,clif_pure_1_2,clif_pure_02_1,clif_pure_02_2,clif_pure_03_1,clif_pure_03_2,clif_pure_04_1,clif_pure_04_2,clif_pure_05_1,clif_pure_05_2,clif_pure_06_1,clif_pure_06_2,clif_pure_07_1,clif_pure_07_2,clif_pure_08_1,clif_pure_08_2,clif_pure_09_1,clif_pure_09_2,clif_pure_10_1,clif_pure_10_2,emt_14_1,emt_14_2,emt_15_1,emt_15_2,emt_12_1,emt_12_2,emt_13_1,emt_13_2,emt_11_1,emt_11_2,emt_10_1,emt_10_2,emt_09_1,emt_09_2,emt_08_1,emt_08_2,emt_07_1,emt_07_2,emt_06_1,emt_06_2,emt_05_1,emt_05_2,emt_04_1,emt_04_2,emt_03_1,emt_03_2,emt_02_1,emt_02_2,emt_01_1,emt_01_2,graham_pure_05_1,graham_pure_05_2,graham_pure_04_1,graham_pure_04_2,graham_pure_03_1,graham_pure_03_2,graham_pure_02_1,graham_pure_02_2,graham_pure_01_1,graham_pure_01_2,graham_fair_05_1,graham_fair_05_2,graham_fair_04_1,graham_fair_04_2,graham_fair_03_1,graham_fair_03_2,graham_fair_02_1,graham_fair_02_2,graham_fair_01_1,graham_fair_01_2,graham_harm_05_1,graham_harm_05_2,graham_harm_04_1,graham_harm_04_2,graham_harm_03_1,graham_harm_03_2,graham_harm_02_1,graham_harm_02_2,graham_harm_01_1,graham_harm_01_2,age,gender,hispanic,race,lib_con_1,lib_con_2,lib_con_3,pol_party,Debrief,likely_dups,total_na,clif_harm_wrong_mean,clif_fair_wrong_mean,clif_pure_wrong_mean,graham_harm_wrong_mean,graham_pure_wrong_mean,graham_fair_wrong_mean,clif_wrong_mean,graham_wrong_mean,emt_wrong_mean,clif_harm_likely_mean,clif_fair_likely_mean,clif_pure_likely_mean,graham_harm_likely_mean,graham_pure_likely_mean,graham_fair_likely_mean,clif_likely_mean,graham_likely_mean,emt_likely_mean
I understand and agree to continue,2,3,2,2,2,2,2,4,1,3,2,3,3,2,3,2,2,2,1,5,2,2,3,2,2,2,0,4,3,2,3,1,4,1,0,3,1,4,3,3,2,2,1,4,0,5,0,5,1,4,3,1,3,3,1,4,2,3,4,2,4,3,3,0,5,2,5,1,3,3,4,2,4,0,4,2,4,1,5,2,2,2,1,5,1,4,1,3,1,5,2,2,1,5,1,5,1,5,1,NA,1,2,1,5,3,3,1,4,4,3,2,4,5,4,1,2,0,1,4,1,5,0,5,2,4,2,1,3,4,2,3,2,4,1,2,5,3,2,3,3,5,3,18,Male,No,White or Caucasian,4,6,3,Democratic,Continue,NA,7,2,1.909090909,3.9,3.4,3,3.4,2.463414634,3.266666667,1.466666667,2.578947368,3.272727273,1.5,2.8,1.6,2.2,2.512195122,2.2,3.928571429
I understand and agree to continue,5,2,4,3,5,3,4,1,5,1,3,3,5,2,5,3,4,2,4,1,5,3,5,1,4,4,4,3,5,3,5,1,5,2,4,2,4,2,5,3,5,2,3,3,3,3,4,3,4,3,5,2,5,2,3,4,4,3,4,3,5,3,5,0,5,1,5,1,5,1,3,1,5,0,5,0,5,1,5,0,5,1,3,3,3,4,4,3,4,4,2,4,3,4,3,3,3,3,2,4,4,2,3,3,5,2,3,3,5,4,5,1,3,1,1,3,3,1,5,1,5,1,5,1,5,4,4,1,5,1,3,2,5,1,2,3,5,4,4,1,5,3,21,Female,No,White or Caucasian,6,4,4,Independent,Continue,NA,9,4.473684211,4.090909091,4.8,4.2,3.4,4.4,4.463414634,4,3.466666667,2.210526316,2.818181818,0.6,2.4,1.4,1.8,2,1.866666667,3.133333333
I understand and agree to continue,5,0,4,2,NA,NA,3,0,5,0,2,0,4,0,4,1,4,3,3,2,2,NA,2,0,4,0,2,2,5,2,5,1,3,0,4,0,4,1,4,1,4,0,1,0,1,0,3,0,4,2,5,1,4,1,3,3,2,0,4,1,5,3,5,0,5,0,5,0,5,0,2,0,5,0,1,0,4,1,5,1,5,0,3,4,2,3,2,4,4,1,2,0,3,1,4,2,2,4,2,4,3,2,3,4,3,1,2,4,4,4,4,2,5,0,0,0,3,0,5,0,0,0,5,0,5,1,3,1,5,0,2,0,3,0,1,2,5,2,5,0,5,0,20,Female,No,White or Caucasian,2,3,3,Democratic,Continue,NA,11,3.611111111,3.272727273,4.2,3.8,2.6,4,3.675,3.466666667,2.866666667,0.823529412,1,0.2,0.8,0,0.4,0.717948718,0.4,2.666666667
I understand and agree to continue,2,3,1,5,2,3,2,2,1,3,2,3,2,1,3,1,3,4,2,4,2,3,2,3,1,4,1,3,3,4,3,2,2,3,3,2,4,2,2,5,2,2,2,3,3,4,1,3,3,3,2,1,3,4,1,5,3,3,4,3,3,3,3,0,4,3,5,0,5,0,2,2,5,0,5,0,4,1,4,1,5,1,1,5,3,5,2,3,1,NA,1,4,1,5,1,4,1,4,1,4,2,4,1,5,2,2,1,5,3,5,3,3,3,5,0,0,0,1,4,0,1,2,NA,NA,4,3,2,4,4,2,2,3,4,0,0,4,4,3,3,1,4,2,21,Female,No,White or Caucasian,5,6,3,Republican,Continue,NA,12,2.157894737,2.454545455,4.2,3,1.6,3,2.731707317,2.5,1.6,2.894736842,3.090909091,0.8,2,1.6,3,2.487804878,2.142857143,4.142857143
I understand and agree to continue,5,0,5,2,5,3,3,4,5,2,5,3,5,2,4,4,4,4,5,4,5,4,4,3,4,3,4,4,3,4,5,2,4,2,5,0,5,4,4,1,5,1,NA,NA,5,3,5,5,5,3,5,3,5,3,4,3,3,2,5,4,5,5,5,0,5,4,5,0,5,1,5,3,0,0,5,0,5,0,3,0,2,1,5,4,4,4,3,3,3,3,3,3,4,2,5,2,3,2,4,1,NA,4,4,5,5,4,5,4,5,1,5,2,4,0,NA,NA,NA,NA,5,0,5,0,3,4,5,2,4,4,5,2,5,5,5,0,4,1,5,3,NA,NA,5,4,18,Female,Yes,Other,NA,NA,NA,NA,Continue,NA,19,4.473684211,4.7,4,4.75,4.666666667,4.4,4.4,4.583333333,4.142857143,2.842105263,3.2,0.9,2,0,3.4,2.4,2.083333333,2.933333333
I understand and agree to continue,2,2,2,2,2,3,1,2,3,2,1,3,2,1,2,2,1,3,3,2,2,3,2,2,3,2,1,2,2,5,2,1,3,3,1,1,3,2,3,2,4,2,2,1,4,2,4,2,4,2,3,2,4,3,2,2,3,2,3,2,3,2,4,0,4,2,5,1,5,1,5,3,4,1,5,1,4,2,4,1,5,2,1,5,0,3,1,2,2,2,1,5,2,1,1,4,1,5,1,2,1,2,2,2,5,2,1,2,3,2,4,2,5,0,0,1,2,0,1,1,4,0,4,1,3,2,2,2,4,1,4,2,4,1,0,4,3,4,4,2,4,2,20,Male,No,White or Caucasian,"Very conservative
7",4,4,Republican,Continue,NA,9,2,3.272727273,4.5,3,2.4,3.4,2.975609756,2.933333333,1.733333333,2.263157895,2,1.4,2.6,0.4,1.6,1.975609756,1.533333333,2.733333333
I understand and agree to continue,3,2,2,3,4,2,3,3,4,2,4,1,4,1,3,2,3,5,2,5,5,2,3,4,2,4,2,2,5,3,5,4,2,3,5,1,5,3,4,2,4,2,2,4,3,5,4,3,3,3,2,3,4,3,3,5,3,2,4,1,5,3,5,0,5,0,4,0,2,2,3,0,5,0,4,0,5,0,5,2,5,1,2,5,2,1,3,2,3,3,4,4,0,4,3,5,2,4,3,2,3,0,3,4,5,0,3,2,3,2,4,2,2,0,1,0,1,0,2,0,1,2,5,1,5,1,3,5,5,1,5,4,5,0,1,4,3,2,4,1,4,0,21,Female,No,White or Caucasian,3,4,3,Republican,Continue,NA,9,3.473684211,3.363636364,4.3,3.4,1.4,4.6,3.658536585,3.133333333,2.866666667,2.736842105,3.090909091,0.5,1.4,0.4,2.4,2.268292683,1.4,2.666666667
I understand and agree to continue,3,1,2,1,4,1,2,2,3,1,2,1,4,0,3,1,2,1,2,1,3,1,3,1,2,1,2,2,3,1,3,1,3,1,2,0,3,1,3,2,4,1,2,2,1,1,2,1,3,1,2,0,2,1,3,3,2,1,3,1,4,2,2,0,4,1,3,0,4,0,2,2,5,0,2,0,2,0,2,0,4,1,2,2,3,1,2,1,2,1,2,2,1,3,2,2,3,2,2,2,3,0,2,2,4,2,2,2,4,2,3,1,3,0,2,2,1,0,1,0,5,0,4,1,4,1,3,1,3,1,3,2,3,1,1,1,3,1,2,1,3,1,19,Female,No,White or Caucasian,2,6,4,Republican,Continue,NA,9,2.684210526,2.545454545,3,2.4,2.4,3.4,2.731707317,2.733333333,2.466666667,1,1.272727273,0.4,1,0.4,1.2,0.951219512,0.866666667,1.666666667
I understand and agree to continue,2,0,0,1,1,0,0,1,2,0,1,0,1,0,1,1,0,1,0,3,2,NA,0,0,0,2,0,1,0,1,3,0,0,0,0,1,0,3,3,1,4,0,1,0,0,1,3,1,4,2,5,1,3,2,3,2,4,3,4,1,4,1,5,0,5,0,3,1,5,0,5,0,5,0,5,0,5,0,4,0,5,0,0,3,2,4,0,2,1,1,0,5,1,1,2,1,2,2,0,2,1,2,2,4,5,0,1,4,3,1,3,4,5,0,5,0,0,1,4,0,5,0,4,1,5,3,0,1,5,0,4,1,5,0,0,5,2,0,4,2,5,0,18,Male,Yes,"White or Caucasian,Other","Very conservative
7","Very conservative
7","Very conservative
7",Republican,Continue,NA,7,0.684210526,3.181818182,4.7,3.2,3.8,3.6,2.390243902,3.533333333,1.533333333,0.833333333,1.272727273,0.1,1.4,0.2,1.2,0.775,0.933333333,2.4
I understand and agree to continue,5,0,3,2,5,0,1,1,3,0,5,1,5,0,4,0,3,1,4,1,4,NA,1,1,0,2,NA,NA,2,1,3,0,4,1,0,0,0,0,4,0,5,0,5,0,5,0,4,3,4,2,4,2,5,2,4,5,3,0,5,1,5,4,5,0,5,1,5,0,5,0,5,0,5,0,5,0,4,0,5,0,4,0,0,5,1,2,3,3,5,2,1,0,0,2,2,4,3,5,1,3,0,0,3,5,4,0,1,1,4,3,3,2,5,0,0,1,5,0,2,0,5,0,5,0,5,5,3,2,2,1,5,1,5,0,0,3,4,1,4,0,5,0,19,Female,Yes,White or Caucasian,"Very conservative
7","Very conservative
7","Very conservative
7",Republican,Continue,NA,9,2.888888889,4.454545455,4.8,3.6,3.4,4,3.825,3.666666667,2.066666667,0.647058824,1.727272727,0.1,0.8,0.2,1.8,0.794871795,0.933333333,2.466666667
I understand and agree to continue,2,2,2,1,3,1,3,3,2,1,3,1,3,1,2,2,4,2,0,3,5,2,5,2,3,3,3,1,3,2,4,2,3,1,5,2,5,1,2,4,3,0,0,0,2,5,1,3,5,3,3,0,4,3,3,1,2,2,5,2,5,5,1,0,4,1,4,1,5,0,0,0,3,0,3,0,3,1,4,0,2,0,3,5,2,3,1,0,4,2,3,2,2,3,3,2,2,2,0,0,3,1,2,1,0,3,3,2,2,4,3,2,0,0,0,2,0,0,5,0,3,1,5,1,5,0,3,1,5,2,3,1,4,1,4,3,4,2,5,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3.157894737,3,2.9,4.2,1.6,4.2,3.024390244,3.333333333,2.2,1.736842105,2.181818182,0.3,2,0.6,1,1.56097561,1.2,2.133333333
I understand and agree to continue,4,1,2,1,4,1,3,1,4,0,4,1,3,1,5,5,1,1,4,2,4,NA,1,1,2,2,2,1,4,2,4,0,4,1,3,1,4,1,5,3,4,3,3,1,1,5,3,2,4,1,3,1,4,3,0,2,4,3,3,1,4,2,5,0,5,0,5,1,5,0,5,3,5,0,5,0,0,0,5,1,5,0,1,2,1,1,4,2,3,2,3,2,2,2,2,4,3,5,3,2,1,1,2,5,5,5,2,4,4,4,3,1,5,0,0,1,5,0,1,0,5,1,3,0,5,3,2,3,4,2,4,1,5,2,0,0,4,2,2,2,4,1,19,Female,No,White or Caucasian,"Very conservative
7",NA,NA,Republican,Continue,NA,11,3.263157895,3,4.5,3,3.2,3.6,3.536585366,3.266666667,2.6,1.277777778,2.181818182,0.5,1.4,0.4,1.8,1.375,1.2,2.8
I understand and agree to continue,4,2,3,1,4,1,2,5,2,1,3,2,2,1,4,2,3,1,1,2,4,1,3,1,2,1,3,2,3,1,4,1,5,1,5,1,5,2,0,3,3,1,0,1,2,5,3,2,5,3,3,1,3,2,2,1,2,1,5,2,5,5,0,0,4,0,3,0,4,0,1,0,4,1,3,0,3,1,3,0,1,0,2,5,4,2,0,2,1,2,3,2,2,3,2,3,1,3,0,1,2,1,2,0,0,3,2,1,2,4,4,1,1,0,0,0,0,0,5,0,3,0,5,1,5,0,3,5,5,3,3,1,5,0,5,5,4,1,5,2,5,1,22,Female,No,White or Caucasian,"Very liberal
1","Very liberal
1","Very liberal
1",Democratic,Continue,NA,7,3.263157895,3,2.6,4.8,1.8,4.2,2.951219512,3.6,1.8,1.526315789,2.181818182,0.2,1.8,0,2,1.414634146,1.266666667,2.2
I understand and agree to continue,3,1,5,0,5,1,5,0,5,0,5,1,5,1,5,1,3,1,NA,NA,4,NA,5,0,5,0,5,1,5,0,4,0,3,0,2,0,5,0,5,0,5,1,5,1,5,1,5,1,5,2,5,0,5,1,3,1,4,0,3,0,5,0,5,0,5,0,4,1,5,1,5,0,5,1,4,0,4,0,3,0,5,0,4,0,3,0,3,0,4,1,3,1,4,0,5,0,5,0,4,0,4,1,3,0,5,0,5,0,4,0,5,0,5,0,4,1,2,0,5,0,5,0,5,0,4,1,5,0,5,1,4,1,4,1,5,1,4,1,5,1,4,2,17,Male,No,Black or African American,3,3,2,Independent,Continue,NA,11,4.388888889,4.545454545,4.5,4.4,4.2,4.6,4.475,4.4,4.066666667,0.411764706,0.727272727,0.3,1.2,0.2,0.6,0.461538462,0.666666667,0.2
I understand and agree to continue,2,1,2,1,2,1,2,1,2,1,3,1,3,0,3,1,3,1,1,1,2,1,3,0,4,1,2,0,2,1,3,1,3,1,3,0,3,1,3,1,4,1,4,1,3,0,2,1,3,2,5,1,3,1,1,1,2,2,3,1,5,0,5,0,5,1,4,1,5,0,5,0,5,0,4,0,4,0,4,0,4,0,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,5,1,2,1,3,2,3,1,5,0,1,0,4,0,5,0,4,0,4,0,4,1,2,1,5,1,3,1,4,1,1,1,3,1,5,0,3,1,20,Female,Yes,White or Caucasian,2,6,5,Other (please explain),Continue,NA,8,2.526315789,3.181818182,4.5,3.2,3.8,3.6,3.195121951,3.533333333,2,0.789473684,1,0.2,0.8,0,0.8,0.707317073,0.533333333,1.6
I understand and agree to continue,2,1,2,3,2,4,1,1,2,4,2,3,2,2,2,4,0,5,2,2,NA,2,0,3,2,2,0,5,0,4,2,4,2,4,2,1,2,0,2,2,1,5,1,5,4,0,1,5,3,3,0,1,1,4,0,0,2,3,3,5,3,1,5,0,5,0,5,0,5,0,5,0,2,0,4,0,4,0,0,0,5,0,0,5,0,5,0,5,1,4,0,3,0,4,1,2,0,5,0,NA,0,4,0,5,5,4,0,5,3,5,3,1,5,0,0,2,0,0,0,0,2,3,5,3,5,2,0,3,3,0,3,4,5,1,0,0,2,5,1,0,2,2,19,Female,No,Asian,3,5,"Very conservative
7",Republican,Continue,NA,7,1.5,1.727272727,4,2,1.4,3.2,2.2,2.2,0.866666667,2.842105263,2.909090909,0,1.6,1,2.4,2.146341463,1.666666667,4.071428571
I understand and agree to continue,2,0,1,1,3,0,1,0,4,0,0,2,3,0,4,0,1,1,4,0,3,NA,3,4,0,1,2,1,2,0,5,0,1,1,3,1,2,0,4,0,3,0,0,0,1,1,1,1,2,0,0,0,4,0,1,1,3,0,3,1,3,2,5,0,5,0,5,0,5,0,5,0,5,0,5,0,4,0,2,1,5,0,2,5,0,2,1,1,2,0,1,2,1,4,2,1,2,2,1,1,0,1,1,4,5,2,1,1,3,1,2,1,5,0,0,0,4,0,0,0,0,0,3,0,3,2,1,2,4,0,2,0,5,0,0,3,3,2,1,0,3,0,20,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,9,2.315789474,1.909090909,4.6,2.4,1.8,2.6,2.804878049,2.266666667,1.6,0.666666667,0.545454545,0.1,1,0,0.8,0.475,0.6,1.866666667
I understand and agree to continue,5,1,2,0,5,0,5,3,5,4,4,1,5,0,5,0,3,5,5,0,3,2,2,0,4,3,5,1,3,0,5,0,4,0,4,1,5,0,4,1,3,1,3,0,3,3,4,NA,5,1,5,0,5,0,4,0,2,0,5,1,5,0,5,0,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,2,3,5,5,3,5,4,3,5,3,4,4,3,5,5,4,2,1,4,0,2,5,5,0,2,4,5,5,5,5,5,0,5,0,2,0,3,0,5,0,5,0,5,0,4,2,5,0,4,0,5,0,1,1,5,4,3,0,5,4,18,Female,No,White or Caucasian,"Very conservative
7","Very conservative
7","Very conservative
7",Republican,Continue,NA,10,4.157894737,4,5,3.8,4,4.6,4.317073171,4.133333333,3.733333333,1.105263158,0.6,0.1,1.8,0,0.4,0.725,0.733333333,3.466666667
I understand and agree to continue,4,0,3,1,4,1,4,2,4,0,3,0,5,0,3,1,4,1,3,1,4,NA,4,0,4,1,3,1,2,3,4,0,4,0,5,0,2,5,4,1,4,0,3,0,5,0,3,3,5,0,5,0,4,2,4,4,4,1,5,1,5,0,5,0,3,0,4,0,5,0,4,0,5,0,3,0,5,0,4,0,5,0,3,5,2,5,3,2,4,1,2,3,3,4,3,5,3,5,4,2,4,1,3,3,5,0,4,1,5,1,5,1,1,2,0,1,2,0,3,0,5,0,4,1,5,0,2,1,5,0,4,0,4,0,0,1,5,3,5,0,4,0,18,Female,Yes,White or Caucasian,4,5,4,Republican,Continue,NA,9,3.631578947,4.272727273,4.3,3.6,2.2,4,3.975609756,3.266666667,3.533333333,0.944444444,1,0,0.8,0.6,0.4,0.725,0.6,2.6
I understand and agree to continue,2,1,2,2,2,0,3,0,2,1,2,2,4,1,2,2,2,2,1,2,3,NA,2,1,1,3,1,0,2,2,3,2,3,1,3,0,3,1,3,1,2,1,1,1,1,5,1,2,1,3,0,0,3,1,1,2,3,0,2,2,3,4,4,0,3,0,5,0,5,0,4,0,5,0,5,0,3,0,5,0,3,0,1,4,1,1,2,0,2,2,1,1,2,4,1,2,2,3,2,1,2,0,2,2,4,0,2,1,3,4,3,1,4,0,1,0,1,0,5,0,3,0,4,1,5,2,1,0,3,1,2,0,4,0,0,3,3,1,4,2,4,1,19,Female,No,"White or Caucasian,American Indian/Native American or Alaska Native","Very conservative
7","Very conservative
7","Very conservative
7",Republican,Continue,NA,7,2.263157895,1.636363636,4.2,3,2.8,3,2.585365854,2.933333333,2,1.277777778,1.909090909,0,1.4,0,0.8,1.125,0.733333333,1.733333333
I understand and agree to continue,4,5,2,2,4,5,5,4,5,5,5,5,3,3,2,4,2,5,1,5,3,5,2,2,4,5,1,1,3,5,3,4,3,1,5,2,5,3,5,3,2,0,0,4,2,5,4,3,3,4,3,3,5,2,3,5,3,3,4,4,5,3,5,5,3,3,5,5,5,5,1,5,4,0,3,0,5,3,5,1,4,0,1,5,2,5,3,5,5,2,3,5,0,1,1,5,2,5,0,NA,1,3,5,5,5,2,2,4,5,4,4,5,3,0,0,0,5,2,5,1,0,0,5,4,5,5,3,5,5,3,3,2,5,2,0,5,5,5,5,4,5,5,20,Female,Yes,White or Caucasian,2,NA,NA,Independent,Continue,NA,9,3.263157895,3.090909091,4,4,2.6,4.2,3.43902439,3.6,2.6,3.736842105,3.272727273,2.7,4.2,0.6,3.8,3.341463415,2.866666667,4
I understand and agree to continue,3,5,2,5,3,4,4,5,4,5,3,4,3,4,2,5,1,4,2,4,3,5,3,1,3,4,3,4,3,4,5,4,3,2,3,2,2,5,3,5,5,2,1,4,4,2,3,4,5,4,5,2,3,4,2,4,2,5,4,2,4,5,4,0,4,4,5,2,5,0,5,4,5,1,4,0,4,3,4,1,5,3,1,5,4,5,0,4,2,4,2,NA,1,5,2,5,2,5,0,NA,2,NA,3,5,4,4,2,5,2,5,5,4,2,0,0,2,0,0,4,1,3,4,5,2,5,4,2,5,4,3,3,4,5,2,3,5,4,3,5,0,5,3,19,Female,No,White or Caucasian,6,3,5,Independent,Continue,NA,8,2.894736842,3.454545455,4.5,4.4,1.8,3.8,3.43902439,3.333333333,2.133333333,4,3.454545455,1.8,2.6,1.4,3.6,3.341463415,2.533333333,4.666666667
I understand and agree to continue,3,1,1,3,3,4,3,3,3,4,2,3,3,3,3,2,0,3,3,4,3,4,3,3,1,3,3,2,3,4,3,4,4,4,4,3,2,4,3,5,3,3,2,2,4,3,3,2,4,3,5,3,3,4,2,NA,2,3,4,3,4,3,5,1,4,2,5,0,5,0,4,3,5,0,3,0,4,2,3,1,4,2,0,4,4,1,0,5,2,5,1,4,1,4,1,3,1,4,0,4,2,4,2,5,4,3,1,4,2,5,5,3,4,0,0,0,0,0,1,0,3,4,4,1,5,4,1,4,4,4,2,2,5,0,2,4,3,3,5,0,4,2,19,Female,No,White or Caucasian,5,3,5,Independent,Continue,NA,8,2.631578947,3.272727273,4.2,3.8,1.6,3.2,3.195121951,2.866666667,1.733333333,3.210526316,2.9,1.1,1.8,0.8,3,2.65,1.866666667,3.866666667
I understand and agree to continue,3,0,1,0,4,0,2,0,4,1,4,1,2,0,4,1,2,1,2,0,2,NA,3,0,2,1,2,0,4,1,4,0,4,0,4,0,3,1,4,1,3,0,2,1,3,2,3,0,4,0,5,0,5,1,2,0,4,0,4,1,5,0,4,0,3,0,5,0,4,1,3,0,5,0,5,0,5,0,4,0,4,0,2,1,NA,NA,2,0,4,1,1,1,3,2,2,1,4,2,3,1,3,1,2,1,5,0,2,2,5,3,3,1,4,0,NA,NA,1,0,5,0,3,0,5,0,5,1,2,0,5,1,3,0,5,0,2,0,4,1,5,2,5,0,21,Female,No,"White or Caucasian,Black or African American","Very liberal
1",2,2,Independent,Continue,NA,13,2.947368421,3.636363636,4.2,4.2,3.25,4,3.463414634,3.857142857,2.928571429,0.388888889,0.454545455,0.1,0.6,0,0.4,0.35,0.357142857,1.214285714
I understand and agree to continue,3,0,3,1,4,2,3,0,3,0,3,0,3,0,3,2,3,0,3,0,3,NA,3,0,2,0,3,1,3,1,5,0,3,0,4,1,3,0,4,0,3,0,3,0,1,1,3,1,4,2,4,0,2,0,1,1,3,0,3,2,4,0,3,0,4,2,5,0,5,0,3,1,4,0,4,0,4,0,5,0,3,0,1,4,2,3,3,2,2,0,3,1,2,1,3,2,3,2,3,3,2,2,3,1,4,0,1,4,3,1,3,1,3,0,0,0,3,0,5,0,NA,NA,5,0,4,0,3,1,5,0,3,0,5,0,1,1,3,0,5,0,4,0,22,Female,Yes,White or Caucasian,2,5,4,Independent,Continue,NA,9,3.157894737,2.818181818,4,3.6,2.75,4,3.292682927,3.5,2.533333333,0.444444444,0.636363636,0.3,0.2,0,0.2,0.45,0.142857143,1.8
I understand and agree to continue,5,2,3,4,5,3,4,2,5,1,5,1,5,1,4,4,5,3,3,4,5,2,2,5,4,1,3,3,3,2,5,2,4,2,5,3,5,5,5,3,5,3,3,3,5,5,3,4,5,5,2,3,2,5,4,5,2,4,5,4,5,5,5,0,5,2,5,0,5,0,5,2,5,0,5,1,5,2,5,1,5,0,3,5,5,5,3,3,4,3,4,5,2,5,4,5,NA,NA,4,NA,4,2,3,5,5,3,5,5,5,4,5,3,5,0,4,1,3,0,5,0,3,0,5,3,5,4,2,3,5,0,4,2,5,2,0,2,5,3,5,0,5,2,18,Female,Yes,Prefer not to say,6,4,4,Republican,Continue,NA,9,4.210526316,3.727272727,5,4,4,4.2,4.292682927,4.066666667,4,2.631578947,4.181818182,0.8,1.8,0.2,2.4,2.609756098,1.466666667,4.076923077
I understand and agree to continue,2,3,2,3,3,3,2,3,2,3,3,4,3,1,2,3,1,3,0,3,1,4,2,2,2,4,2,3,4,4,3,3,3,3,2,1,1,2,5,4,4,3,1,3,0,5,1,2,3,4,3,1,3,4,1,4,3,2,3,2,5,4,5,1,5,3,4,1,5,0,4,0,4,0,4,0,NA,NA,4,1,4,1,3,5,2,3,3,3,3,2,3,1,3,4,1,4,2,4,1,2,2,3,1,5,4,4,2,5,4,4,2,3,5,1,0,3,5,3,5,1,3,0,4,1,5,5,3,4,5,1,3,2,5,1,1,4,2,3,4,2,4,2,19,Female,No,White or Caucasian,"Very conservative
7","Very conservative
7","Very conservative
7",Republican,Continue,NA,11,2.105263158,2.454545455,4.333333333,3.2,3.6,4,2.775,3.6,2.4,2.894736842,3.090909091,0.777777778,2.4,1.6,2.6,2.5,2.2,3.466666667
I understand and agree to continue,4,2,4,3,5,2,4,3,4,2,4,2,5,1,4,4,4,3,4,2,3,2,2,2,4,4,3,4,4,2,5,3,4,2,4,0,4,2,5,2,5,2,2,3,2,4,3,4,4,4,4,2,4,2,2,3,3,1,5,1,5,2,5,0,5,1,5,0,5,0,5,2,5,0,5,0,5,1,4,2,5,1,3,2,4,0,3,1,5,1,4,3,3,4,4,4,3,5,4,3,4,3,3,4,5,1,4,4,4,4,5,3,5,1,2,1,3,0,5,1,3,1,5,1,5,1,4,3,4,0,4,4,5,0,1,4,4,3,5,1,5,3,20,Female,No,White or Caucasian,4,4,4,Republican,Continue,NA,7,3.947368421,3.545454545,4.9,4,3.6,4.4,4.097560976,4,3.866666667,2.368421053,2.545454545,0.7,2.2,0.8,1.8,2,1.6,2.8
I understand and agree to continue,3,1,3,2,5,1,4,2,3,0,4,1,4,1,3,0,1,4,1,2,1,2,3,0,2,1,1,1,4,0,4,1,4,0,1,1,3,1,4,2,5,1,2,1,1,4,2,1,3,1,4,1,1,2,2,2,2,1,5,1,5,1,4,0,5,1,5,0,5,0,5,0,5,0,5,0,3,0,5,1,5,0,1,3,2,4,2,2,3,3,2,1,1,2,2,4,3,3,1,4,3,2,1,3,3,1,1,2,5,2,2,2,5,0,0,0,5,1,5,0,5,0,5,3,4,2,4,2,4,0,4,1,4,0,0,3,4,2,4,0,5,2,18,Female,No,White or Caucasian,6,"Very conservative
7",5,Republican,Continue,NA,7,2.842105263,2.909090909,4.7,3.4,4,4.2,3.341463415,3.866666667,2.133333333,1.105263158,1.454545455,0.2,1.4,0.2,1.6,1,1.066666667,2.533333333
